,amecaji,TOP_RGB,BOTTOM_RGB,path
298,,"(61, 61, 63)","(55, 58, 64)",amecaji_images/6_2.webp
299,,"(112, 77, 64)","(94, 90, 90)",amecaji_images/6_3.webp
300,,"(153, 148, 139)","(70, 71, 75)",amecaji_images/6_4.webp
301,,"(198, 99, 61)","(119, 102, 74)",amecaji_images/6_5.webp
302,,"(94, 98, 104)","(129, 117, 108)",amecaji_images/6_6.webp
303,,"(80, 80, 81)","(142, 135, 120)",amecaji_images/6_7.webp
304,,"(72, 64, 59)","(102, 93, 82)",amecaji_images/6_8.webp
305,,"(108, 110, 109)","(35, 46, 57)",amecaji_images/6_9.webp
306,,"(116, 118, 91)","(89, 95, 93)",amecaji_images/6_10.webp
307,,"(92, 84, 66)","(91, 101, 81)",amecaji_images/6_11.webp
308,,"(173, 137, 100)","(111, 132, 143)",amecaji_images/6_12.webp
309,,"(102, 112, 102)","(77, 76, 74)",amecaji_images/6_13.webp
310,,"(31, 34, 41)","(33, 32, 37)",amecaji_images/6_14.webp
311,,"(20, 34, 51)","(78, 84, 95)",amecaji_images/6_15.webp
312,,"(53, 38, 53)","(44, 42, 48)",amecaji_images/6_16.webp
313,,"(191, 168, 145)","(63, 65, 69)",amecaji_images/6_17.webp
314,,"(92, 108, 102)","(99, 131, 151)",amecaji_images/6_18.webp
315,,"(52, 49, 52)","(160, 134, 92)",amecaji_images/6_19.webp
316,,"(186, 157, 126)","(69, 119, 146)",amecaji_images/6_20.webp
317,,"(83, 62, 51)","(84, 78, 71)",amecaji_images/6_21.webp
318,,"(28, 45, 70)","(86, 80, 70)",amecaji_images/6_22.webp
319,,"(51, 80, 76)","(30, 68, 62)",amecaji_images/6_23.webp
320,,"(65, 85, 100)","(86, 96, 101)",amecaji_images/6_24.webp
321,,"(37, 44, 56)","(44, 54, 67)",amecaji_images/6_25.webp
322,,"(117, 111, 61)","(115, 108, 72)",amecaji_images/6_26.webp
323,,"(59, 78, 100)","(179, 175, 174)",amecaji_images/6_27.webp
324,,"(82, 73, 69)","(71, 72, 84)",amecaji_images/6_28.webp
325,,"(46, 60, 77)","(193, 180, 160)",amecaji_images/6_29.webp
326,,"(196, 189, 183)","(220, 213, 206)",amecaji_images/6_30.webp
327,,"(22, 38, 68)","(54, 61, 75)",amecaji_images/6_31.webp
328,,"(60, 94, 125)","(162, 172, 193)",amecaji_images/6_32.webp
329,,"(59, 59, 71)","(75, 70, 76)",amecaji_images/6_33.webp
330,,"(211, 209, 215)","(34, 37, 42)",amecaji_images/6_34.webp
331,,"(92, 110, 126)","(43, 49, 49)",amecaji_images/6_35.webp
332,,"(54, 53, 51)","(65, 64, 70)",amecaji_images/6_36.webp
333,,"(56, 59, 57)","(170, 155, 134)",amecaji_images/6_37.webp
334,,"(153, 135, 126)","(198, 194, 192)",amecaji_images/6_38.webp
335,,"(47, 49, 55)","(94, 91, 71)",amecaji_images/6_39.webp
336,,"(141, 133, 117)","(225, 217, 212)",amecaji_images/6_40.webp
337,,"(150, 158, 164)","(60, 57, 51)",amecaji_images/6_41.webp
338,,"(165, 112, 62)","(149, 116, 84)",amecaji_images/6_42.webp
339,,"(52, 62, 70)","(150, 146, 146)",amecaji_images/6_43.webp
340,,"(176, 173, 181)","(75, 69, 54)",amecaji_images/6_44.webp
341,,"(115, 58, 58)","(169, 165, 158)",amecaji_images/6_45.webp
342,,"(211, 211, 206)","(132, 136, 124)",amecaji_images/6_46.webp
343,,"(210, 207, 208)","(70, 68, 69)",amecaji_images/6_47.webp
344,,"(64, 91, 114)","(119, 131, 147)",amecaji_images/6_48.webp
345,,"(215, 209, 208)","(196, 186, 170)",amecaji_images/6_49.webp
346,,"(134, 124, 114)","(123, 134, 141)",amecaji_images/6_50.webp
347,,"(69, 75, 72)","(66, 67, 62)",amecaji_images/6_51.webp
348,,"(101, 101, 102)","(18, 24, 30)",amecaji_images/6_52.webp
349,,"(188, 189, 191)","(173, 86, 91)",amecaji_images/6_53.webp
350,,"(47, 58, 65)","(157, 164, 172)",amecaji_images/6_54.webp
351,,"(169, 161, 153)","(79, 80, 80)",amecaji_images/6_55.webp
352,,"(20, 76, 137)","(22, 66, 117)",amecaji_images/6_56.webp
353,,"(189, 184, 184)","(155, 140, 127)",amecaji_images/6_57.webp
354,,"(140, 123, 112)","(85, 85, 74)",amecaji_images/6_58.webp
355,,"(43, 45, 47)","(58, 58, 62)",amecaji_images/6_59.webp
356,,"(91, 91, 74)","(97, 93, 78)",amecaji_images/7_0.webp
357,,"(186, 175, 168)","(66, 65, 56)",amecaji_images/7_1.webp
358,,"(209, 187, 171)","(180, 164, 143)",amecaji_images/7_2.webp
359,,"(70, 81, 92)","(40, 56, 72)",amecaji_images/7_3.webp
360,,"(152, 88, 58)","(51, 50, 48)",amecaji_images/7_4.webp
361,,"(117, 117, 119)","(125, 132, 111)",amecaji_images/7_5.webp
362,,"(106, 129, 128)","(178, 165, 155)",amecaji_images/7_6.webp
363,,"(64, 77, 95)","(52, 67, 84)",amecaji_images/7_7.webp
364,,"(123, 129, 112)","(112, 99, 87)",amecaji_images/7_8.webp
365,,"(178, 118, 65)","(154, 140, 120)",amecaji_images/7_9.webp
366,,"(48, 45, 45)","(39, 49, 47)",amecaji_images/7_10.webp
367,,"(41, 93, 130)","(164, 134, 111)",amecaji_images/7_11.webp
368,,"(28, 35, 46)","(43, 46, 50)",amecaji_images/7_12.webp
369,,"(204, 155, 123)","(60, 57, 57)",amecaji_images/7_13.webp
370,,"(19, 26, 28)","(50, 54, 41)",amecaji_images/7_14.webp
371,,"(219, 220, 213)","(51, 107, 142)",amecaji_images/7_15.webp
372,,"(72, 69, 65)","(111, 112, 96)",amecaji_images/7_16.webp
373,,"(55, 50, 52)","(155, 40, 54)",amecaji_images/7_17.webp
374,,"(125, 113, 95)","(51, 57, 64)",amecaji_images/7_18.webp
375,,"(82, 110, 131)","(149, 146, 130)",amecaji_images/7_19.webp
376,,"(44, 56, 73)","(113, 105, 96)",amecaji_images/7_20.webp
377,,"(37, 52, 69)","(188, 180, 179)",amecaji_images/7_21.webp
378,,"(103, 121, 114)","(136, 110, 90)",amecaji_images/7_22.webp
379,,"(57, 55, 52)","(44, 47, 47)",amecaji_images/7_23.webp
380,,"(64, 74, 88)","(172, 169, 160)",amecaji_images/7_24.webp
381,,"(36, 38, 37)","(148, 131, 101)",amecaji_images/7_25.webp
382,,"(145, 115, 102)","(99, 102, 122)",amecaji_images/7_26.webp
383,,"(32, 38, 37)","(62, 59, 52)",amecaji_images/7_27.webp
384,,"(100, 44, 70)","(54, 53, 51)",amecaji_images/7_28.webp
385,,"(131, 115, 103)","(60, 69, 84)",amecaji_images/7_29.webp
386,,"(56, 55, 55)","(76, 73, 69)",amecaji_images/7_30.webp
387,,"(109, 103, 94)","(79, 74, 73)",amecaji_images/7_31.webp
388,,"(91, 98, 87)","(110, 132, 146)",amecaji_images/7_32.webp
389,,"(104, 99, 97)","(36, 44, 51)",amecaji_images/7_33.webp
390,,"(46, 48, 44)","(75, 80, 73)",amecaji_images/7_34.webp
391,,"(160, 177, 188)","(64, 74, 91)",amecaji_images/7_35.webp
392,,"(102, 107, 94)",,amecaji_images/7_36.webp
393,,"(51, 72, 73)","(64, 53, 47)",amecaji_images/7_37.webp
394,,"(171, 165, 168)","(76, 80, 90)",amecaji_images/7_38.webp
395,,"(56, 54, 65)","(112, 90, 82)",amecaji_images/7_39.webp
396,,"(148, 111, 73)","(64, 94, 118)",amecaji_images/7_40.webp
397,,"(112, 95, 69)","(70, 66, 64)",amecaji_images/7_41.webp
398,,"(68, 81, 87)","(132, 128, 107)",amecaji_images/7_42.webp
399,,"(123, 98, 65)","(88, 91, 96)",amecaji_images/7_43.webp
400,,"(158, 139, 118)","(37, 39, 47)",amecaji_images/7_44.webp
401,,"(137, 135, 111)","(121, 123, 100)",amecaji_images/7_45.webp
402,,"(104, 87, 77)","(89, 76, 67)",amecaji_images/7_46.webp
403,,"(65, 74, 87)","(127, 141, 133)",amecaji_images/7_47.webp
404,,"(48, 42, 39)","(50, 42, 34)",amecaji_images/7_48.webp
405,,"(25, 22, 22)","(116, 79, 51)",amecaji_images/7_49.webp
406,,"(68, 81, 92)","(155, 142, 132)",amecaji_images/7_50.webp
407,,"(71, 65, 52)","(136, 124, 110)",amecaji_images/7_51.webp
408,,"(135, 117, 101)","(69, 65, 64)",amecaji_images/7_52.webp
409,,"(121, 90, 67)","(78, 82, 93)",amecaji_images/7_53.webp
410,,"(67, 57, 46)","(96, 76, 63)",amecaji_images/7_54.webp
411,,"(141, 124, 112)","(53, 56, 73)",amecaji_images/7_55.webp
412,,"(67, 46, 55)","(106, 113, 101)",amecaji_images/7_56.webp
413,,"(85, 102, 102)","(107, 106, 102)",amecaji_images/7_57.webp
414,,"(133, 91, 56)","(80, 52, 34)",amecaji_images/7_58.webp
415,,"(117, 132, 147)","(180, 181, 175)",amecaji_images/7_59.webp
416,,"(111, 92, 68)",,amecaji_images/8_0.webp
417,,"(29, 31, 33)","(35, 39, 43)",amecaji_images/8_2.webp
418,,"(193, 175, 147)","(126, 118, 88)",amecaji_images/8_3.webp
419,,"(89, 87, 88)","(61, 62, 65)",amecaji_images/8_4.webp
420,,"(50, 47, 48)","(35, 36, 43)",amecaji_images/8_5.webp
421,,"(148, 128, 91)",,amecaji_images/8_6.webp
422,,"(78, 63, 52)","(47, 44, 44)",amecaji_images/8_7.webp
423,,"(120, 105, 90)","(75, 89, 102)",amecaji_images/8_8.webp
424,,"(135, 145, 146)","(125, 131, 131)",amecaji_images/8_9.webp
425,,"(70, 92, 86)","(56, 73, 85)",amecaji_images/8_10.webp
426,,"(85, 88, 61)",,amecaji_images/8_11.webp
427,,"(31, 29, 33)","(45, 42, 46)",amecaji_images/8_12.webp
428,,"(81, 79, 76)","(133, 118, 104)",amecaji_images/8_13.webp
429,,"(54, 58, 66)","(184, 184, 188)",amecaji_images/8_14.webp
430,,"(37, 49, 64)","(70, 79, 90)",amecaji_images/8_15.webp
431,,"(69, 68, 72)","(122, 126, 129)",amecaji_images/8_16.webp
432,,"(43, 29, 31)","(93, 81, 68)",amecaji_images/8_17.webp
433,,"(63, 71, 81)","(81, 89, 98)",amecaji_images/8_18.webp
434,,"(87, 72, 55)","(80, 63, 48)",amecaji_images/8_19.webp
435,,"(92, 91, 90)","(120, 116, 96)",amecaji_images/8_20.webp
436,,"(101, 92, 80)","(70, 57, 43)",amecaji_images/8_21.webp
437,,"(145, 121, 101)","(137, 110, 93)",amecaji_images/8_22.webp
438,,"(194, 159, 127)","(77, 73, 80)",amecaji_images/8_23.webp
439,,"(67, 67, 71)","(45, 49, 53)",amecaji_images/8_24.webp
440,,"(199, 188, 176)","(88, 83, 80)",amecaji_images/8_25.webp
441,,"(141, 75, 74)","(135, 135, 116)",amecaji_images/8_26.webp
442,,"(96, 91, 65)","(168, 144, 125)",amecaji_images/8_27.webp
443,,"(57, 50, 45)","(135, 99, 79)",amecaji_images/8_28.webp
444,,"(80, 77, 65)","(54, 55, 46)",amecaji_images/8_29.webp
445,,"(98, 131, 129)","(96, 114, 98)",amecaji_images/8_30.webp
446,,"(144, 126, 102)","(116, 102, 94)",amecaji_images/8_31.webp
447,,"(31, 50, 71)","(48, 56, 66)",amecaji_images/8_32.webp
448,,"(144, 107, 82)","(175, 164, 148)",amecaji_images/8_33.webp
449,,"(78, 77, 68)","(103, 90, 82)",amecaji_images/8_34.webp
450,,"(93, 91, 91)","(103, 72, 59)",amecaji_images/8_35.webp
451,,"(96, 91, 94)","(80, 77, 70)",amecaji_images/8_36.webp
452,,"(134, 114, 95)","(99, 87, 75)",amecaji_images/8_37.webp
453,,"(69, 65, 66)","(51, 48, 46)",amecaji_images/8_38.webp
454,,"(83, 81, 69)",,amecaji_images/8_39.webp
455,,"(78, 84, 92)","(92, 83, 78)",amecaji_images/8_40.webp
456,,"(208, 178, 151)","(76, 78, 90)",amecaji_images/8_41.webp
457,,"(116, 108, 92)",,amecaji_images/8_42.webp
458,,"(91, 88, 93)","(102, 104, 112)",amecaji_images/8_43.webp
459,,"(42, 44, 48)","(58, 54, 55)",amecaji_images/8_44.webp
460,,"(210, 125, 100)","(66, 67, 67)",amecaji_images/8_45.webp
461,,"(131, 111, 88)","(93, 78, 62)",amecaji_images/8_46.webp
462,,"(85, 79, 78)","(130, 115, 100)",amecaji_images/8_47.webp
463,,"(115, 115, 107)","(135, 133, 131)",amecaji_images/8_48.webp
464,,"(153, 118, 88)","(131, 108, 88)",amecaji_images/8_49.webp
465,,"(178, 164, 154)","(81, 86, 95)",amecaji_images/8_50.webp
466,,"(110, 95, 81)","(150, 139, 134)",amecaji_images/8_51.webp
467,,"(48, 51, 58)",,amecaji_images/8_52.webp
468,,"(131, 92, 72)","(118, 76, 52)",amecaji_images/8_53.webp
469,,"(84, 91, 100)","(154, 167, 190)",amecaji_images/8_54.webp
470,,"(82, 74, 84)","(95, 66, 53)",amecaji_images/8_55.webp
471,,"(35, 35, 40)","(127, 114, 100)",amecaji_images/8_56.webp
472,,"(160, 169, 182)","(60, 67, 77)",amecaji_images/8_57.webp
473,,"(95, 84, 88)","(104, 87, 77)",amecaji_images/8_58.webp
474,,"(53, 50, 44)","(60, 55, 48)",amecaji_images/8_59.webp
475,,"(182, 178, 168)","(202, 203, 204)",amecaji_images/9_0.webp
476,,"(155, 126, 118)","(80, 58, 44)",amecaji_images/9_1.webp
477,,"(96, 102, 114)","(90, 93, 104)",amecaji_images/9_2.webp
478,,"(181, 181, 163)","(58, 70, 81)",amecaji_images/9_3.webp
479,,"(186, 156, 124)","(155, 124, 93)",amecaji_images/9_4.webp
480,,"(172, 54, 100)","(44, 43, 44)",amecaji_images/9_5.webp
481,,"(75, 67, 66)","(161, 153, 141)",amecaji_images/9_6.webp
482,,"(154, 130, 95)","(120, 105, 78)",amecaji_images/9_7.webp
483,,"(82, 87, 96)","(115, 111, 110)",amecaji_images/9_8.webp
484,,"(157, 140, 126)","(54, 58, 51)",amecaji_images/9_9.webp
485,,"(141, 99, 76)","(77, 69, 63)",amecaji_images/9_10.webp
486,,"(126, 111, 99)","(27, 25, 28)",amecaji_images/9_11.webp
487,,"(171, 169, 164)","(95, 116, 143)",amecaji_images/9_12.webp
488,,"(40, 32, 28)","(113, 96, 71)",amecaji_images/9_13.webp
489,,"(168, 149, 128)","(74, 66, 59)",amecaji_images/9_14.webp
490,,"(57, 60, 64)","(57, 58, 61)",amecaji_images/9_15.webp
491,,"(35, 57, 91)","(40, 63, 92)",amecaji_images/9_16.webp
492,,"(135, 146, 154)","(162, 140, 124)",amecaji_images/9_17.webp
493,,"(156, 127, 99)","(77, 64, 50)",amecaji_images/9_18.webp
494,,"(45, 47, 53)","(190, 192, 202)",amecaji_images/9_19.webp
495,,"(59, 57, 56)","(103, 107, 83)",amecaji_images/9_20.webp
496,,"(205, 181, 151)","(92, 90, 73)",amecaji_images/9_21.webp
497,,"(204, 196, 187)","(88, 83, 81)",amecaji_images/9_22.webp
498,,"(195, 169, 88)","(90, 101, 104)",amecaji_images/9_23.webp
499,,"(80, 79, 85)","(123, 105, 102)",amecaji_images/9_24.webp
500,,"(67, 73, 79)","(133, 100, 84)",amecaji_images/9_25.webp
501,,"(156, 140, 118)","(134, 120, 101)",amecaji_images/9_26.webp
502,,"(83, 82, 78)","(73, 78, 62)",amecaji_images/9_27.webp
503,,"(93, 95, 89)","(158, 156, 164)",amecaji_images/9_28.webp
504,,"(178, 163, 135)","(50, 71, 93)",amecaji_images/9_29.webp
505,,"(79, 74, 69)","(157, 154, 163)",amecaji_images/9_30.webp
506,,"(76, 72, 56)","(55, 62, 78)",amecaji_images/9_31.webp
507,,"(204, 176, 151)","(178, 128, 83)",amecaji_images/9_32.webp
508,,"(193, 178, 180)","(49, 45, 55)",amecaji_images/9_33.webp
509,,"(121, 117, 102)","(87, 81, 67)",amecaji_images/9_34.webp
510,,"(94, 98, 103)","(153, 161, 158)",amecaji_images/9_35.webp
511,,"(171, 101, 67)","(76, 72, 68)",amecaji_images/9_36.webp
512,,"(51, 48, 44)","(114, 95, 68)",amecaji_images/9_37.webp
513,,"(237, 178, 120)","(196, 175, 153)",amecaji_images/9_38.webp
514,,"(162, 170, 170)","(127, 126, 99)",amecaji_images/9_39.webp
515,,"(121, 123, 107)","(79, 84, 68)",amecaji_images/9_40.webp
516,,"(152, 155, 168)","(58, 52, 53)",amecaji_images/9_41.webp
517,,"(77, 87, 96)","(71, 88, 106)",amecaji_images/9_42.webp
518,,"(89, 94, 102)","(138, 110, 84)",amecaji_images/9_43.webp
519,,"(107, 105, 113)","(59, 59, 69)",amecaji_images/9_44.webp
520,,"(160, 159, 140)","(161, 151, 153)",amecaji_images/9_45.webp
521,,"(177, 145, 102)",,amecaji_images/9_46.webp
522,,"(160, 153, 149)","(102, 91, 97)",amecaji_images/9_47.webp
523,,"(172, 133, 100)","(66, 43, 32)",amecaji_images/9_48.webp
524,,"(123, 108, 104)","(102, 94, 97)",amecaji_images/9_49.webp
525,,"(75, 95, 110)","(88, 105, 110)",amecaji_images/9_50.webp
526,,"(89, 92, 125)","(69, 68, 77)",amecaji_images/9_51.webp
527,,"(48, 52, 61)","(121, 128, 137)",amecaji_images/9_52.webp
528,,"(82, 80, 87)","(108, 105, 89)",amecaji_images/9_53.webp
529,,"(48, 43, 45)","(65, 61, 61)",amecaji_images/9_54.webp
530,,"(62, 61, 74)","(91, 87, 91)",amecaji_images/9_55.webp
531,,"(91, 105, 119)","(103, 89, 75)",amecaji_images/9_56.webp
532,,"(141, 106, 103)","(52, 51, 47)",amecaji_images/9_57.webp
533,,"(51, 42, 41)","(29, 22, 20)",amecaji_images/9_58.webp
534,,"(150, 152, 154)","(37, 47, 69)",amecaji_images/9_59.webp
535,,"(173, 141, 103)","(138, 119, 94)",amecaji_images/10_0.webp
536,,"(156, 131, 119)","(47, 54, 68)",amecaji_images/10_1.webp
537,,"(29, 30, 37)",,amecaji_images/10_2.webp
538,,"(41, 51, 72)","(69, 87, 111)",amecaji_images/10_3.webp
539,,"(66, 63, 63)","(171, 149, 131)",amecaji_images/10_4.webp
540,,"(80, 69, 75)","(105, 87, 68)",amecaji_images/10_5.webp
541,,"(51, 57, 66)","(42, 48, 46)",amecaji_images/10_6.webp
542,,"(117, 98, 93)","(33, 33, 40)",amecaji_images/10_7.webp
543,,"(29, 36, 45)","(96, 94, 98)",amecaji_images/10_8.webp
544,,"(70, 74, 76)","(106, 108, 115)",amecaji_images/10_9.webp
545,,"(116, 121, 114)","(115, 131, 122)",amecaji_images/10_10.webp
546,,"(72, 77, 60)","(77, 104, 120)",amecaji_images/10_11.webp
547,,"(62, 64, 71)","(102, 103, 107)",amecaji_images/10_12.webp
548,,"(127, 114, 92)","(110, 109, 97)",amecaji_images/10_13.webp
549,,"(42, 33, 28)","(82, 77, 63)",amecaji_images/10_14.webp
550,,"(69, 65, 74)","(40, 39, 48)",amecaji_images/10_15.webp
551,,"(94, 96, 84)","(108, 99, 82)",amecaji_images/10_16.webp
552,,"(96, 98, 102)","(148, 144, 124)",amecaji_images/10_17.webp
553,,"(134, 100, 86)","(103, 88, 76)",amecaji_images/10_18.webp
554,,"(54, 52, 61)","(107, 120, 127)",amecaji_images/10_19.webp
555,,"(113, 104, 88)","(35, 38, 45)",amecaji_images/10_20.webp
556,,"(123, 115, 75)","(131, 115, 104)",amecaji_images/10_21.webp
557,,"(37, 52, 68)","(37, 55, 81)",amecaji_images/10_22.webp
558,,"(35, 35, 32)","(149, 146, 115)",amecaji_images/10_23.webp
559,,"(78, 66, 49)","(46, 42, 45)",amecaji_images/10_24.webp
560,,"(132, 140, 130)","(96, 95, 99)",amecaji_images/10_25.webp
561,,"(48, 45, 52)","(144, 119, 85)",amecaji_images/10_26.webp
562,,"(41, 57, 74)","(180, 163, 136)",amecaji_images/10_27.webp
563,,"(106, 102, 93)","(50, 45, 53)",amecaji_images/10_28.webp
564,,"(143, 108, 77)","(81, 67, 57)",amecaji_images/10_29.webp
565,,"(40, 36, 37)","(65, 65, 57)",amecaji_images/10_30.webp
566,,"(37, 36, 38)","(46, 48, 57)",amecaji_images/10_31.webp
567,,"(71, 58, 43)","(107, 93, 82)",amecaji_images/10_32.webp
568,,"(85, 97, 106)","(173, 156, 140)",amecaji_images/10_33.webp
569,,"(125, 110, 80)","(65, 65, 67)",amecaji_images/10_34.webp
570,,"(109, 100, 89)","(53, 56, 55)",amecaji_images/10_35.webp
571,,"(56, 52, 55)","(109, 120, 137)",amecaji_images/10_36.webp
572,,"(55, 53, 59)","(71, 77, 87)",amecaji_images/10_37.webp
573,,"(48, 52, 61)",,amecaji_images/10_38.webp
574,,"(126, 98, 67)","(30, 37, 52)",amecaji_images/10_39.webp
575,,"(62, 71, 86)","(67, 73, 87)",amecaji_images/10_40.webp
576,,"(71, 74, 82)","(218, 216, 205)",amecaji_images/10_41.webp
577,,"(51, 52, 53)","(87, 86, 85)",amecaji_images/10_42.webp
578,,"(116, 102, 98)","(117, 110, 106)",amecaji_images/10_43.webp
579,,"(43, 47, 51)","(97, 100, 95)",amecaji_images/10_44.webp
580,,"(83, 81, 85)","(61, 58, 69)",amecaji_images/10_45.webp
581,,"(31, 32, 36)","(46, 45, 45)",amecaji_images/10_46.webp
582,,"(58, 63, 74)","(104, 98, 97)",amecaji_images/10_47.webp
583,,"(47, 46, 50)","(90, 86, 89)",amecaji_images/10_48.webp
584,,"(61, 66, 76)",,amecaji_images/10_49.webp
585,,"(147, 115, 86)","(33, 37, 44)",amecaji_images/10_50.webp
586,,"(132, 133, 135)","(52, 49, 53)",amecaji_images/10_51.webp
587,,"(156, 132, 109)","(60, 60, 62)",amecaji_images/10_52.webp
588,,"(46, 44, 42)",,amecaji_images/10_53.webp
589,,"(40, 37, 41)","(197, 177, 155)",amecaji_images/10_54.webp
590,,"(58, 69, 89)","(132, 136, 135)",amecaji_images/10_55.webp
591,,"(66, 57, 68)","(177, 171, 179)",amecaji_images/10_56.webp
592,,"(81, 81, 86)","(114, 122, 121)",amecaji_images/10_57.webp
593,,"(101, 100, 102)","(99, 120, 133)",amecaji_images/10_58.webp
594,,"(71, 91, 100)","(43, 91, 121)",amecaji_images/10_59.webp
